# perft_suite_960_xfen.txt - the same 960 start positions written in X-FEN.
#
# X-FEN writes Chess960 castling as plain KQkq, where K means the OUTERMOST rook on the
# king's side rather than the rook on h1. THIS IS WHAT LICHESS SENDS: a live 960 game gives
# [FEN "rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w KQkq - 0 1"], king on g1.
#
# Before fen2board() learned to infer the rook files from the board, 124 of these 3840 runs
# failed while the identical positions in Shredder notation all passed -- so a FEN from a
# real lichess 960 game could not be read at all. Same expected counts as
# perft_suite_960.txt, because they are the same positions.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168402
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167939
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167958
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7769 ;D4 166476
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 166927
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165643
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168655
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167475
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7856 ;D4 170095
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7746 ;D4 165334
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168658
nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166975
bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10238 ;D4 236063
bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233585
bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198767
bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8932 ;D4 198581
nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199590
nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8942 ;D4 199253
nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7769 ;D4 166468
nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7763 ;D4 166256
nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8916 ;D4 197925
nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8884 ;D4 196781
nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167419
nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166972
nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7816 ;D4 168276
nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7708 ;D4 163701
nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 167044
nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 167094
bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9050 ;D4 203152
bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200731
bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201319
bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9094 ;D4 205796
qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9010 ;D4 201189
qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198009
qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195390
qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199779
qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200496
qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8978 ;D4 199995
qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10185 ;D4 234272
qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10206 ;D4 235091
qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 201980
qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199636
qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10263 ;D4 237912
qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10261 ;D4 237624
bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200786
bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198177
bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195449
bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199827
nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167422
nqbbrknr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7807 ;D4 168198
nqbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164743
nqbrknrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKNRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168660
nbqrbknr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167277
nqrbbknr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7809 ;D4 168362
nqrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8898 ;D4 197181
nqrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBNRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8916 ;D4 197806
nbqrknbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRKNBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 166056
nqrbknbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBKNBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7780 ;D4 166729
nqrknbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRKNBBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 200348
nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 200183
bbnrqknr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200652
bnrbqknr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 198373
bnrqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8860 ;D4 195322
bnrqknrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKNRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8960 ;D4 199701
nbbrqknr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167278
nrbbqknr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7813 ;D4 168483
nrbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164941
nrbqknrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKNRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7830 ;D4 169000
nbrqbknr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7790 ;D4 167590
nrqbbknr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7813 ;D4 168482
nrqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164968
nrqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBNRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7754 ;D4 165712
nbrqknbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQKNBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7761 ;D4 165921
nrqbknbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBKNBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7786 ;D4 167124
nrqknbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQKNBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167842
nrqknrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKNRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167823
bbnrkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201307
bnrbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8900 ;D4 197091
bnrkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBNR w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10143 ;D4 232326
bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10206 ;D4 235086
nbbrkqnr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165554
nrbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7773 ;D4 166575
nrbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164966
nrbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQNRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167349
nbrkbqnr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQNR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 198064
nrkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7775 ;D4 166835
nrkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBNR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165204
nrkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBNRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7752 ;D4 165247
nbrkqnbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKQNBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 198380
nrkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBQNBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167438
nrkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKQNBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167934
nrkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQNRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167178
bbnrknqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203845
bnrbknqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199706
bnrknbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBQR w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10221 ;D4 235972
bnrknqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNQRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10223 ;D4 236118
nbbrknqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7797 ;D4 167695
nrbbknqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7824 ;D4 168775
nrbknbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167845
nrbknqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNQRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7809 ;D4 168283
nbrkbnqr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 198372
nrkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167387
nrknbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7843 ;D4 169678
nrknbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBQRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167469
nbrknqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKNQBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8990 ;D4 201247
nrkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBNQBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167933
nrknqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKNQBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7881 ;D4 171379
nrknqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNQRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7837 ;D4 168928
bbnrknrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9054 ;D4 203962
bnrbknrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8960 ;D4 199709
bnrknbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBRQ w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10181 ;D4 234120
bnrknrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNRQB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 235690
nbbrknrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167821
nrbbknrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7830 ;D4 169011
nrbknbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7771 ;D4 166588
nrbknrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNRQB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167830
nbrkbnrq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 196834
nrkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7752 ;D4 165094
nrknbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167317
nrknbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBRQB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7799 ;D4 167233
nbrknrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKNRBQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 199222
nrkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBNRBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7763 ;D4 165394
nrknrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKNRBBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 168473
nrknrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNRQBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 168619
bbqnrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 199503
bqnbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197094
bqnrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168643
bqnrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKRNB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201197
qbbnrkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 197514
qnbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 194576
qnbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163365
qnbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKRNB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8856 ;D4 195190
qbnrbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 196834
qnrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8900 ;D4 196549
qnrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8902 ;D4 197276
qnrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBRNB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10141 ;D4 232038
qbnrkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBNRKRBN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 165888
qnrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QNRBKRBN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 163856
qnrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QNRKRBBN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196083
qnrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKRNBB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10200 ;D4 234769
bbnqrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197159
bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 194786
bnqrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163422
bnqrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKRNB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8856 ;D4 195240
nbbqrkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163974
nqbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164732
nqbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBRN w KQkq - 0 1 ;D1 18 ;D2 324 ;D3 6672 ;D4 136666
nqbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKRNB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164658
nbqrbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163836
nqrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7731 ;D4 164899
nqrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164721
nqrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBRNB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195226
nbqrkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBQRKRBN w KQkq - 0 1 ;D1 18 ;D2 324 ;D3 6630 ;D4 134980
nqrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NQRBKRBN w KQkq - 0 1 ;D1 18 ;D2 324 ;D3 6650 ;D4 135574
nqrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NQRKRBBN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7702 ;D4 163574
nqrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKRNBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8908 ;D4 197448
bbnrqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197033
bnrbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKRN w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8860 ;D4 194986
bnrqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163313
bnrqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKRNB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195096
nbbrqkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163838
nrbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165231
nrbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBRN w KQkq - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136992
nrbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKRNB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164924
nbrqbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164145
nrqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKRN w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165229
nrqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBRN w KQkq - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136995
nrqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBRNB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163311
