# perft_suite_960.txt - reference node counts for ./perft, Chess960
#
#   ./perft -d 4 -f perft_suite_960.txt                  counts only (3840 runs)
#   ./perft --check --nobulk --make all -d 3 -f perft_suite_960.txt
#                                                        counts + reconcile() + all make modes
#
# NOTE: give this file with -f. A positional argument containing '/' is parsed as a FEN.
#
# All 960 Chess960 start positions in Scharnagl (SP) order, SP-0 first; SP-518 is the standard
# array. Castling is written Shredder-style (rook FILES, e.g. HAha), which is what fen2board()
# understands -- it does NOT infer 960 rook files from a plain KQkq.
#
# Counts generated against Stockfish with 'setoption name UCI_Chess960 value true', as the note
# in perft_suite.txt requires: a recalled number would be indistinguishable from a generator bug.
#
# This suite found a real defect. undo_move() restored the castling rook to its source BEFORE
# clearing its destination, and in Chess960 those can be the SAME square (castling queenside with
# the rook already on d1/d8), so the rook was written and immediately erased from the mailbox.
# The bitboards survived, because the two XORs of one bit cancel -- so every count-based test
# passed with the bug present, in all three make modes, to depth 4. Only reconcile() saw it.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7746 ;D4 165316
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8984 ;D4 200232
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8932 ;D4 197999
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8976 ;D4 200636
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198773
nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168402
nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167939
nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167958
nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7769 ;D4 166476
nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 166927
nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165643
nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168655
nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167475
nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7856 ;D4 170095
nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7746 ;D4 165334
nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168658
nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166975
bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10238 ;D4 236063
bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233585
bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198767
bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8932 ;D4 198581
nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199590
nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8942 ;D4 199253
nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7769 ;D4 166468
nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7763 ;D4 166256
nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8916 ;D4 197925
nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8884 ;D4 196781
nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167419
nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166972
nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7816 ;D4 168276
nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7708 ;D4 163701
nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 167044
nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 167094
bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9050 ;D4 203152
bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200731
bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201319
bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 9094 ;D4 205796
qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9010 ;D4 201189
qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198009
qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195390
qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199779
qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200496
qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8978 ;D4 199995
qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w HChc - 0 1 ;D1 21 ;D2 441 ;D3 10185 ;D4 234272
qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10206 ;D4 235091
qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 201980
qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199636
qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w HChc - 0 1 ;D1 21 ;D2 441 ;D3 10263 ;D4 237912
qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w FCfc - 0 1 ;D1 21 ;D2 441 ;D3 10261 ;D4 237624
bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200786
bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198177
bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195449
bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199827
nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167422
nqbbrknr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKNR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7807 ;D4 168198
nqbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBNR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164743
nqbrknrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKNRB w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168660
nbqrbknr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKNR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167277
nqrbbknr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKNR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7809 ;D4 168362
nqrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8898 ;D4 197181
nqrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBNRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8916 ;D4 197806
nbqrknbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRKNBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 166056
nqrbknbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBKNBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7780 ;D4 166729
nqrknbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRKNBBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 200348
nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 200183
bbnrqknr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 200652
bnrbqknr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 198373
bnrqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8860 ;D4 195322
bnrqknrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKNRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8960 ;D4 199701
nbbrqknr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKNR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167278
nrbbqknr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7813 ;D4 168483
nrbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164941
nrbqknrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKNRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7830 ;D4 169000
nbrqbknr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKNR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7790 ;D4 167590
nrqbbknr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7813 ;D4 168482
nrqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164968
nrqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBNRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7754 ;D4 165712
nbrqknbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQKNBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7761 ;D4 165921
nrqbknbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBKNBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7786 ;D4 167124
nrqknbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQKNBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167842
nrqknrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKNRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167823
bbnrkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201307
bnrbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8900 ;D4 197091
bnrkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBNR w HChc - 0 1 ;D1 21 ;D2 441 ;D3 10143 ;D4 232326
bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10206 ;D4 235086
nbbrkqnr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQNR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165554
nrbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7773 ;D4 166575
nrbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164966
nrbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQNRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7792 ;D4 167349
nbrkbqnr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 198064
nrkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7775 ;D4 166835
nrkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBNR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165204
nrkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBNRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7752 ;D4 165247
nbrkqnbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKQNBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 198380
nrkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBQNBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167438
nrkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKQNBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167934
nrkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQNRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167178
bbnrknqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNQR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203845
bnrbknqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199706
bnrknbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBQR w HChc - 0 1 ;D1 21 ;D2 441 ;D3 10221 ;D4 235972
bnrknqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNQRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10223 ;D4 236118
nbbrknqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNQR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7797 ;D4 167695
nrbbknqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7824 ;D4 168775
nrbknbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167845
nrbknqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNQRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7809 ;D4 168283
nbrkbnqr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 198372
nrkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7788 ;D4 167387
nrknbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBQR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7843 ;D4 169678
nrknbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBQRB w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167469
nbrknqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKNQBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8990 ;D4 201247
nrkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBNQBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167933
nrknqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKNQBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7881 ;D4 171379
nrknqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNQRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7837 ;D4 168928
bbnrknrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNRQ w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 9054 ;D4 203962
bnrbknrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8960 ;D4 199709
bnrknbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBRQ w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10181 ;D4 234120
bnrknrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNRQB w FCfc - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 235690
nbbrknrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNRQ w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167821
nrbbknrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7830 ;D4 169011
nrbknbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7771 ;D4 166588
nrbknrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNRQB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167830
nbrkbnrq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 196834
nrkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7752 ;D4 165094
nrknbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBRQ w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167317
nrknbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBRQB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7799 ;D4 167233
nbrknrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKNRBQ w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 199222
nrkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBNRBQ w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7763 ;D4 165394
nrknrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKNRBBQ w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 168473
nrknrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNRQBB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 168619
bbqnrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 199503
bqnbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197094
bqnrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168643
bqnrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKRNB w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201197
qbbnrkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8930 ;D4 197514
qnbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 194576
qnbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163365
qnbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKRNB w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8856 ;D4 195190
qbnrbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKRN w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 196834
qnrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKRN w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8900 ;D4 196549
qnrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBRN w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8902 ;D4 197276
qnrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBRNB w FCfc - 0 1 ;D1 21 ;D2 441 ;D3 10141 ;D4 232038
qbnrkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBNRKRBN w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 165888
qnrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QNRBKRBN w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 163856
qnrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QNRKRBBN w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196083
qnrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKRNBB w ECec - 0 1 ;D1 21 ;D2 441 ;D3 10200 ;D4 234769
bbnqrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197159
bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 194786
bnqrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163422
bnqrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKRNB w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8856 ;D4 195240
nbbqrkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKRN w GEge - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163974
nqbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKRN w GEge - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164732
nqbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBRN w GDgd - 0 1 ;D1 18 ;D2 324 ;D3 6672 ;D4 136666
nqbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKRNB w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164658
nbqrbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163836
nqrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7731 ;D4 164899
nqrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164721
nqrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBRNB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195226
nbqrkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBQRKRBN w FDfd - 0 1 ;D1 18 ;D2 324 ;D3 6630 ;D4 134980
nqrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NQRBKRBN w FCfc - 0 1 ;D1 18 ;D2 324 ;D3 6650 ;D4 135574
nqrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NQRKRBBN w ECec - 0 1 ;D1 19 ;D2 361 ;D3 7702 ;D4 163574
nqrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKRNBB w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8908 ;D4 197448
bbnrqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKRN w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197033
bnrbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKRN w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8860 ;D4 194986
bnrqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163313
bnrqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKRNB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195096
nbbrqkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163838
